Gene,SpermSubset,ProteinOrthoHomology,PANNZER_Description,Avg NSAF Apyrene,Avg NSAF Eupyrene
Msex2.05954,Eupyrene,DPOGS201735,ER mannose-binding lectin,NA,0.000369385
Msex2.05958,Shared,DPOGS203629,NA,0.000406968,0.012893986
Msex2.05962,Shared,NA,NA,0.000134346,0.003260624
Msex2.05990,Eupyrene,DPOGS206045,Ficolin-3,NA,0.005432535
Msex2.05997,Eupyrene,DPOGS203307,Venom allergen 5,NA,0.001109216
Msex2.05998,Shared,DPOGS203308,NA,0.002285457,0.00136857
Msex2.06012,Shared,DPOGS212563,Enolase II,0.004215108,0.003767042
Msex2.06044,Shared,DPOGS209741,Mitochondrial voltage-dependent anion channel,0.011410533,0.00932948
Msex2.06051,Apyrene,DPOGS209709,NA,0.001006221,NA
Msex2.06054,Shared,DPOGS209746,NADH-ubiquinone oxidoreductase sgdh subunit,0.001350988,0.000747554
Msex2.06057,Eupyrene,NA,NA,NA,0.002722763
Msex2.06073,Shared,"DPOGS213385,DPOGS213386",Tubulin beta chain,0.008303696,0.005571738
Msex2.06075,Shared,"DPOGS213388,DPOGS215440,DPOGS202403",Tubulin beta chain,0.000247201,0.000247819
Msex2.06078,Apyrene,DPOGS213345,"Coiled-coil domain-containing protein 19, mitochondrial",0.000267215,NA
Msex2.06139,Eupyrene,DPOGS207299,NA,NA,0.000706841
Msex2.06154,Eupyrene,DPOGS215953,NA,NA,0.000292698
Msex2.06189,Apyrene,DPOGS212135,Alpha-scruin,0.000140676,NA
Msex2.06194,Shared,DPOGS212130,Coiled-coil domain-containing protein 108,0.000324462,0.000129226
Msex2.06253,Eupyrene,DPOGS209325,NA,NA,0.000479692
Msex2.06286,Shared,DPOGS205623,Signal peptidase complex subunit,0.000435305,0.00266964
Msex2.06300,Apyrene,DPOGS209590,NA,0.000122177,NA
Msex2.06316,Eupyrene,NA,Cytochrome b5 domain-containing protein 1,NA,0.000340066
Msex2.06356,Shared,DPOGS207944,Glutamine synthetase 2 cytoplasmic,0.00289714,0.002102049
Msex2.06398,Shared,NA,Axonemal beta dynein heavy chain 2,0.000116061,5.23E-05
Msex2.06427,Apyrene,DPOGS210821,Pyridine nucleotide-disulfide oxidoreductase,0.001703373,NA
Msex2.06429,Shared,DPOGS210849,Short-chain specific acyl-CoA dehydrogenase,0.00180495,0.001147839
Msex2.06467,Shared,DPOGS201094,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",0.003009061,0.000487478
Msex2.06486,Shared,NA,NA,0.013209831,0.009081513
Msex2.06493,Shared,DPOGS201752,Cullin-associated and neddylation-dissociated protein 1,0.000489856,9.10E-05
Msex2.06504,Shared,DPOGS201744,Multifunctional chaperone,0.000875331,0.000991855
Msex2.06508,Apyrene,NA,NA,0.000143496,NA
Msex2.06535,Shared,NA,NA,0.000327449,0.000101257
Msex2.06553,Shared,DPOGS200888,NADH-ubiquinone oxidoreductase subunit 8,0.002094958,0.000930471
Msex2.06563,Apyrene,DPOGS200911,Glutamine synthetase 2 cytoplasmic,0.000213975,NA
Msex2.06577,Shared,DPOGS211204,"Dynein heavy chain 6, axonemal (Fragment)",0.000518313,0.000251979
Msex2.06578,Shared,DPOGS201379,Dynein heavy chain,0.00056588,0.00027028
Msex2.06580,Eupyrene,DPOGS202991,L-lactate dehydrogenase B-A chain,NA,0.007914175
Msex2.06637,Shared,DPOGS207761,NA,0.000214613,0.000962477
Msex2.06641,Apyrene,DPOGS207763,26S proteasome non-ATPase regulatory subunit 2,0.000102832,NA
Msex2.06643,Eupyrene,DPOGS207764,Enolase,NA,0.000213335
Msex2.06645,Eupyrene,DPOGS207765,NA,NA,0.001302938
Msex2.06678,Eupyrene,DPOGS200872,Ribosomal protein L27 (Fragment),NA,0.000623258
Msex2.06695,Apyrene,DPOGS208552,Synthesis of cytochrome c oxidase,0.000391256,NA
Msex2.06743,Eupyrene,"DPOGS203206,DPOGS203207",Organic cation transporter,NA,0.001240141
Msex2.06755,Eupyrene,DPOGS200181,Chromodomain-helicase-DNA-binding protein Mi-2,NA,4.25E-05
Msex2.06763,Shared,"DPOGS202129,DPOGS202130",Putative: flagellar/basal body protein [Chlamydomonas reinhardtii],0.001009913,0.000639849
Msex2.06816,Eupyrene,DPOGS211872,Ribosomal protein 1,NA,0.000521979
Msex2.06817,Shared,DPOGS211948,NADH dehydrogenase 1 alpha subcomplex subunit,0.002697539,0.001874234
Msex2.06846,Eupyrene,DPOGS204469,Cytochrome c oxidase polypeptide VIa,NA,0.005511727
Msex2.06933,Shared,NA,NA,0.00032213,0.004071262
Msex2.06951,Shared,DPOGS205340,Vitellin-degrading protease,0.000587598,0.005098707
Msex2.06954,Eupyrene,DPOGS201112,Putative Trypsin alpha,NA,0.002123818
Msex2.06955,Eupyrene,NA,NA,NA,0.000221703
Msex2.06956,Shared,DPOGS201117,Mitochondrial cytochrome c oxidase subunit IV,0.001509264,0.001231433
Msex2.06957,Shared,DPOGS201118,NA,0.001753268,0.002441025
Msex2.06969,Eupyrene,DPOGS201402,Adenine nucleotide translocase,NA,0.013117519
Msex2.06991,Shared,DPOGS215614,Nucleoside diphosphate kinase,0.000983222,0.000525401
Msex2.06992,Shared,DPOGS215800,Nucleoside diphosphate kinase,0.000539301,0.000332979
Msex2.07006,Apyrene,DPOGS203778,NA,0.000583412,NA
Msex2.07047,Shared,DPOGS204284,Coiled-coil domain-containing protein 39,0.000622318,0.000306574
Msex2.07054,Shared,DPOGS204260,Glutamine-rich protein 2,0.002717625,0.001387013
Msex2.07067,Shared,DPOGS201556,Adenylate kinase isoenzyme 1,0.00147216,0.001488142
Msex2.07096,Shared,DPOGS211429,Tubulin alpha chain,0.000253881,0.000434249
Msex2.07110,Eupyrene,NA,NA,NA,0.00214163
Msex2.07147,Eupyrene,DPOGS206535,C-terminal tandem repeated domain in type 4 procollagen,NA,7.07E-05
Msex2.07197,Shared,DPOGS211602,Aspartate ammonia lyase,0.013926442,0.009155879
Msex2.07215,Apyrene,DPOGS216169,Dynein light chain roadblock,0.000730424,NA
Msex2.07263,Shared,DPOGS213255,NA,0.000928421,0.000329924
Msex2.07270,Eupyrene,DPOGS213261,ATP-binding cassette transporter,NA,9.41E-05
Msex2.07271,Shared,DPOGS213237,Pyruvate dehydrogenase,0.000974827,0.001763046
Msex2.07295,Apyrene,NA,NA,0.00107622,NA
Msex2.07296,Eupyrene,DPOGS215381,NA,NA,0.000476819
Msex2.07324,Shared,NA,Ubiquitin ribosomal fusion protein S27,0.000911635,0.001017763
Msex2.07351,Shared,DPOGS203034,NA,0.000851833,0.000363788
Msex2.07359,Shared,DPOGS200051,NA,0.001290959,0.000286536
Msex2.07364,Shared,DPOGS207540,NA,0.005993687,0.00379795
Msex2.07366,Shared,"DPOGS200327,DPOGS207542,DPOGS200328",Muscle-specific actin,0.000943933,0.000510591
Msex2.07443,Shared,DPOGS200772,NA,0.000712168,0.000366781
Msex2.07462,Eupyrene,DPOGS203490,Vacuolar ATP synthase catalytic subunit A,NA,0.001604244
Msex2.07463,Eupyrene,DPOGS203491,NA,NA,0.000251085
Msex2.07480,Shared,DPOGS201813,Phosphoglycerate mutase,0.000273226,0.000247906
Msex2.07513,Eupyrene,DPOGS208406,NA,NA,2.48E-05
Msex2.07518,Shared,DPOGS208408,NA,0.000830764,0.002607176
Msex2.07527,Shared,DPOGS208417,EF-hand domain-containing family member B,0.001587598,0.000825521
Msex2.07556,Apyrene,DPOGS205605,"ATP-dependent Clp protease ATP-binding subunit clpX, mitochondrial",0.000254915,NA
Msex2.07558,Shared,DPOGS205606,"Cytochrome b-c1 complex subunit 2, mitochondrial",0.002428272,0.000832763
Msex2.07583,Shared,DPOGS210250,Heat shock protein cognate 4,0.000165362,0.000414035
Msex2.07584,Shared,DPOGS210250,Heat shock protein cognate 4,0.000165362,0.000414035
Msex2.07601,Eupyrene,"DPOGS214331,DPOGS214357",Ureidoglycolate dehydrogenase,NA,0.006652374
Msex2.07609,Shared,DPOGS214373,NA,0.000323723,0.000113783
Msex2.07610,Shared,DPOGS214371,Transitional endoplasmic reticulum ATPase,0.000552823,0.000214826
Msex2.07635,Eupyrene,DPOGS210344,Receptor protein-tyrosine kinase,NA,1.79E-05
Msex2.07639,Shared,NA,NA,0.003038123,0.000571401
Msex2.07640,Eupyrene,DPOGS210353,NA,NA,0.002356451
Msex2.07670,Shared,NA,NA,0.00083473,0.000204632
Msex2.07699,Eupyrene,DPOGS202204,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,NA,0.001082694
Msex2.07744,Shared,DPOGS214433,Leucine-rich repeat-containing protein 34,0.000903725,0.000447643
Msex2.07758,Eupyrene,DPOGS214411,NA,NA,0.000840016
Msex2.07774,Eupyrene,NA,Carboxypeptidase B,NA,0.000791161
Msex2.07788,Eupyrene,DPOGS200844,Annexin,NA,0.000528499
Msex2.07821,Shared,DPOGS200355,Mitochondrial ATP synthase subunit f,0.00134653,0.001777324
Msex2.07885,Eupyrene,DPOGS203840,NA,NA,0.001366545
Msex2.07890,Apyrene,DPOGS203653,Low-expression lectin 2,0.00029375,NA
Msex2.07892,Shared,DPOGS202689,Coiled-coil domain-containing protein 135,0.0006431,0.000191455
Msex2.07896,Apyrene,DPOGS202691,Adenylosuccinate synthetase,0.000527976,NA
Msex2.07899,Eupyrene,NA,N-acetylneuraminate lyase,NA,0.000445954
Msex2.07903,Shared,DPOGS202694,NA,0.003739501,0.002248676
Msex2.07904,Shared,DPOGS202695,NA,0.002482148,0.00152181
Msex2.07934,Eupyrene,"DPOGS201832,DPOGS204855",axonemal outer arm dynein intermediate chain 1,NA,0.000456813
Msex2.07936,Shared,NA,NA,0.006310756,0.002073018
Msex2.07952,Eupyrene,DPOGS206511,Heat shock protein HSP 90-alpha,NA,0.00031856
Msex2.08000,Apyrene,DPOGS213623,Sodium/potassium-transporting ATPase subunit alpha,0.000584711,NA
Msex2.08042,Shared,DPOGS204064,NA,0.000255225,0.000123181
Msex2.08088,Apyrene,NA,NA,0.003388133,NA
Msex2.08101,Eupyrene,DPOGS202246,Dolichyl-diphosphooligosaccharide-protein glycosyltransferase subunit,NA,0.000180932
Msex2.08117,Shared,NA,L-threonine dehydratase catabolic TdcB,0.00260746,0.002561914
Msex2.08118,Apyrene,NA,L-threonine dehydratase catabolic TdcB,0.000413668,NA
Msex2.08131,Shared,DPOGS205116,Chitooligosaccharidolytic beta-N-acetylglucosaminidase,0.000110472,0.000368802
Msex2.08149,Apyrene,DPOGS200466,Sorting and assembly machinery component,0.000125441,NA
Msex2.08184,Shared,DPOGS209079,Dynein axonemal heavy chain 3,0.000497699,0.000241213
Msex2.08190,Apyrene,NA,Serine/threonine-protein phosphatase 2A activator,0.000425393,NA
Msex2.08194,Apyrene,"DPOGS208634,DPOGS208713",Multidrug resistance-associated protein 1,0.000174715,NA
Msex2.08203,Eupyrene,DPOGS208721,Restnol dehydrogenase,NA,0.000943243
Msex2.08206,Apyrene,DPOGS208719,Mitochondrial carrier triple repeat protein 1,0.000816653,NA
Msex2.08236,Apyrene,DPOGS207441,Ubiquitin activating enzyme,9.34E-05,NA
Msex2.08281,Shared,DPOGS204999,Cytochrome c oxidase subunit mitochondrial,0.002883953,0.001907517
Msex2.08307,Eupyrene,DPOGS201801,Coiled-coil domain-containing protein 63,NA,0.000982204
Msex2.08323,Shared,DPOGS211696,NA,0.002151939,0.000956494
Msex2.08347,Shared,DPOGS213678,NADH dehydrogenase [ubiquinone] 1 subunit C2,0.002764416,0.002182677
Msex2.08471,Shared,DPOGS215829,Putative e3 ubiquitin ligase cullin 2 component,0.000425639,0.000213312
Msex2.08483,Eupyrene,DPOGS215815,Laminin subunit gamma-3,NA,2.42E-05
Msex2.08530,Shared,DPOGS210435,ATP synthase subunit alpha,0.004733719,0.003859866
Msex2.08548,Shared,DPOGS201428,Mitochondrial-processing peptidase subunit beta,0.002313162,0.000433334
Msex2.08577,Eupyrene,NA,NA,NA,0.004854795
Msex2.08581,Eupyrene,NA,NA,NA,0.000276128
Msex2.08592,Apyrene,NA,NA,0.000696638,NA
Msex2.08594,Shared,DPOGS200518,Metalloendopeptidase,0.0044591,0.000614436
Msex2.08599,Apyrene,NA,xaa-Pro aminopeptidase 1-like,0.000330307,NA
Msex2.08610,Eupyrene,NA,Serine protease 48,NA,0.002011017
Msex2.08723,Shared,DPOGS210452,"dynein heavy chain 10, axonemal",0.000596541,0.000319528
Msex2.08729,Eupyrene,DPOGS210441,Putative cuticle protein CPG31,NA,0.000485726
Msex2.08734,Apyrene,DPOGS210459,NA,0.000909993,NA
Msex2.08745,Shared,NA,"Dynein heavy chain 7, axonemal",0.000550015,0.00025591
Msex2.08753,Apyrene,DPOGS214674,Tctex1 domain-containing protein 1-A,0.002005959,NA
Msex2.08816,Shared,DPOGS207775,EF-hand domain-containing family member C2,0.00305583,0.001774216
Msex2.08824,Shared,DPOGS212299,Peptidyl-prolyl cis-trans isomerase-like 6,0.001015922,0.000550193
Msex2.08890,Shared,DPOGS213336,NA,0.006175939,0.003048398
Msex2.08911,Eupyrene,DPOGS202160,60S acidic ribosomal protein P0,NA,0.000734696
Msex2.08921,Eupyrene,DPOGS202154,Dolichyl-diphosphooligosaccharide-protein glycosyltransferase,NA,0.000243117
Msex2.08978,Shared,DPOGS204433,NA,0.001970696,0.01267249
Msex2.08987,Apyrene,DPOGS206443,Gamma-glutamyl transpeptidase,0.000860449,NA
Msex2.09002,Eupyrene,DPOGS200096,Putative thioredoxin/protein disulfide isomerase,NA,0.000117605
Msex2.09017,Apyrene,DPOGS206159,Acyl-coenzyme A thioesterase 13,0.00075518,NA
Msex2.09092,Shared,DPOGS206139,Sperm-associated antigen 17,0.000414096,0.000113881
Msex2.09094,Shared,DPOGS206137,NA,0.000414717,0.000182587
Msex2.09118,Eupyrene,NA,NA,NA,0.002471937
Msex2.09123,Eupyrene,NA,V-type proton ATPase subunit a,NA,0.000148877
Msex2.09124,Apyrene,DPOGS203973,NA,0.000282847,NA
Msex2.09136,Eupyrene,DPOGS204752,Tyrosine sulfotransferase,NA,0.000506848
Msex2.09147,Eupyrene,DPOGS204762,Ester hydrolase like protein,NA,0.000611017
Msex2.09179,Shared,DPOGS206096,"4-aminobutyrate aminotransferase, mitochondrial",0.005212559,0.000614994
Msex2.09193,Shared,DPOGS206074,Fibrillin-1,4.56E-06,1.10E-05
Msex2.09227,Shared,DPOGS208377,Glutamate dehydrogenase,0.011282465,0.006626434
Msex2.09233,Shared,DPOGS211492,Pyruvate dehydrogenase beta,0.001064861,0.002108495
Msex2.09288,Shared,NA,Tubulin alpha chain,0.000584742,0.000634487
Msex2.09296,Eupyrene,DPOGS200952,Annexin,NA,0.001760974
Msex2.09301,Shared,DPOGS204680,Sugar lactone lactonase YvrE,0.000191079,0.010913397
Msex2.09305,Shared,DPOGS204677,Mitochondrial glutamate carrier 1,0.001067443,0.002423813
Msex2.09308,Eupyrene,DPOGS204676,Vacuolar ATP synthethase subunit E,NA,0.001345053
Msex2.09335,Apyrene,DPOGS208956,Peptidyl-prolyl cis-trans isomerase,0.000584339,NA
Msex2.09336,Shared,DPOGS210672,Putative cystoskeletal protein tektin,0.004725344,0.003305735
Msex2.09375,Apyrene,NA,E3 ubiquitin-protein ligase RNF123,7.31E-05,NA
Msex2.09390,Shared,DPOGS204553,Carbon catabolite repressor,0.000907862,0.000659815
Msex2.09436,Shared,DPOGS203765,NA,5.30E-05,6.98E-05
Msex2.09544,Shared,DPOGS205797,NA,0.000603504,0.000256259
Msex2.09559,Shared,DPOGS213378,NA,0.000906249,0.000750149
Msex2.09560,Shared,DPOGS213379,NA,0.024447558,0.012063425
Msex2.09578,Shared,"DPOGS206517,DPOGS206518",Testis specific tektin,0.003153788,0.001958462
Msex2.09579,Shared,"DPOGS206517,DPOGS206518",Testis specific tektin,0.002249448,0.001651786
Msex2.09592,Apyrene,DPOGS205498,Actin depolymerization factor,0.000800528,NA
Msex2.09611,Shared,DPOGS212075,NA,0.000367683,0.003840647
Msex2.09628,Shared,DPOGS215757,Phosphatidylethanolamine-binding protein 1,0.001810686,0.001251578
Msex2.09631,Apyrene,DPOGS215665,Mitochondrial NADH-ubuiquinone oxidoreductase 13 kDa-B subunit,0.001504103,NA
Msex2.09677,Shared,DPOGS202178,Aspartate aminotransferase,0.001067142,0.000395724
Msex2.09689,Eupyrene,DPOGS210833,40S ribosomal protein S24,NA,0.000684599
Msex2.09783,Shared,DPOGS208656,EF-hand domain-containing protein 1,0.003744039,0.002148425
Msex2.09784,Shared,NA,EF-hand domain-containing protein 1,0.003022449,0.001585964
Msex2.09793,Shared,DPOGS208650,Succinate-CoA ligase subunit beta,0.006212044,0.014263569
Msex2.09812,Shared,NA,ATP synthase subunit beta,0.003102603,0.002802955
Msex2.09813,Apyrene,DPOGS205238,Heat shock protein cognate 5,0.000554928,NA
Msex2.09814,Eupyrene,DPOGS205202,Putative vacuolar ATP synthase subunit S1,NA,0.000476856
Msex2.09818,Shared,DPOGS205217,NA,0.015657333,0.012556184
Msex2.09827,Shared,DPOGS210289,Coiled-coil domain-containing protein 147,0.001443777,0.000728958
Msex2.09839,Eupyrene,NA,NA,NA,0.000658306
Msex2.09855,Eupyrene,DPOGS214640,Sodium/potassium-transporting ATPase subunit alpha,NA,0.000109318
Msex2.09872,Eupyrene,DPOGS209778,Mitochondrial pyruvate carrier,NA,0.000918708
Msex2.09886,Shared,DPOGS206819,Dynein light chain cytoplasmic,0.002667305,0.004400872
Msex2.09911,Apyrene,NA,IQ domain-containing protein G,0.000749862,NA
Msex2.09937,Shared,NA,NA,0.000293262,0.00159106
Msex2.09940,Shared,DPOGS201656,Dynein heavy chain,0.000612277,0.000276901
Msex2.09948,Shared,DPOGS207168,NA,0.003067097,0.00276996
Msex2.09977,Shared,DPOGS214382,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",0.002702234,0.00220305
Msex2.10022,Shared,DPOGS206069,Serine/threonine-protein phosphatase,0.002253736,0.001360933
Msex2.10051,Shared,DPOGS203786,Gamma dynein heavy chain,0.001321749,0.000877577
Msex2.10072,Eupyrene,DPOGS211216,V-type proton ATPase subunit d,NA,0.000970713
Msex2.10082,Shared,DPOGS211087,Fatty acid oxidation complex subunit alpha,0.000149526,0.000109602
Msex2.10083,Eupyrene,DPOGS211221,NA,NA,0.003508819
Msex2.10165,Shared,NA,Cilia and flagella-associated protein 52,0.000174149,5.24E-05
Msex2.10183,Shared,DPOGS212509,Coiled-coil domain-containing protein 13,0.000937998,0.000481278
Msex2.10199,Eupyrene,"DPOGS207199,DPOGS212515,DPOGS207204",NA,NA,0.005583332
Msex2.10248,Shared,DPOGS208773,Adenylate kinase 8,0.001100239,0.000635761
Msex2.10249,Shared,DPOGS208844,Delta-aminolevulinic acid dehydratase,9.93E-05,0.001295094
Msex2.10254,Eupyrene,DPOGS208842,NA,NA,0.000452024
Msex2.10273,Eupyrene,DPOGS215154,ATP synthase subunit gamma,NA,0.000264657
Msex2.10274,Eupyrene,DPOGS215153,V-type proton ATPase subunit C,NA,0.00058406
Msex2.10302,Apyrene,DPOGS210372,"ATP synthase subunit d, mitochondrial",0.000555424,NA
Msex2.10316,Eupyrene,DPOGS201415,Thioredoxin/protein disulfide isomerase,NA,0.000388965
Msex2.10324,Shared,DPOGS204885,Ubiquinol-cytochrome c reductase core protein IIa,0.003356056,0.001430061
Msex2.10329,Shared,DPOGS211657,Putative nucleoside-diphosphate sugar epimerase,0.001097834,0.000750846
Msex2.10354,Apyrene,DPOGS211101,Radial spoke head 10-like protein B2,0.000442994,NA
Msex2.10371,Shared,DPOGS202391,NA,0.000481442,0.004192601
Msex2.10427,Shared,DPOGS203921,NA,0.008327309,0.010147063
Msex2.10429,Apyrene,"DPOGS200090,DPOGS215733",Serine/threonine protein kinase,0.000190271,NA
Msex2.10462,Eupyrene,NA,Peroxisomal N(1)-acetyl-spermine/spermidine oxidase,NA,0.001478273
Msex2.10463,Shared,NA,Dipeptidyl aminopeptidase protein 6,0.000779504,0.000857895
Msex2.10525,Eupyrene,DPOGS208888,NA,NA,0.000146778
Msex2.10562,Eupyrene,DPOGS205984,Ribosomal protein S16,NA,0.00055309
Msex2.10570,Shared,DPOGS205989,"Myosin heavy chain, clone, putative",0.00142434,0.000342435
Msex2.10575,Shared,NA,Titin,0.001464654,0.000883178
Msex2.10576,Shared,NA,NA,0.000200457,0.000238839
Msex2.10577,Eupyrene,NA,NA,NA,0.003020755
Msex2.10578,Eupyrene,NA,NA,NA,0.004367448
Msex2.10583,Apyrene,DPOGS209817,Putative carbonic anhydrase 5,0.000295125,NA
Msex2.10623,Apyrene,DPOGS200740,Tetraspanin,0.001338196,NA
Msex2.10624,Eupyrene,DPOGS200723,Peptidyl-prolyl cis-trans isomerase E,NA,0.000710158
Msex2.10648,Apyrene,DPOGS212748,"Tricarboxylate transport protein, mitochondrial",0.000647715,NA
Msex2.10665,Shared,DPOGS205230,NA,0.00862418,0.007705163
Msex2.10675,Eupyrene,NA,NA,NA,0.000673521
Msex2.10697,Apyrene,DPOGS209903,Proteasome subunit beta type,0.000410886,NA
Msex2.10721,Apyrene,DPOGS202898,NA,0.001261522,NA
Msex2.10779,Shared,DPOGS211519,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex,0.005973457,0.001468871
Msex2.10807,Shared,NA,Trypsinogen,0.000552423,0.000574553
Msex2.10927,Apyrene,DPOGS203536,NADH dehydrogenase,0.000640273,NA
Msex2.11006,Apyrene,DPOGS214630,Voltage-gated potassium channel subunit beta-2,0.000483274,NA
Msex2.11008,Shared,DPOGS214632,Dynein heavy chain,0.001382589,0.000864852
Msex2.11042,Eupyrene,DPOGS200759,NA,NA,0.001625287
Msex2.11044,Shared,NA,NA,0.004787502,0.003298126
Msex2.11045,Shared,NA,Pacifastin-related serine protease inhibitor,0.002554973,0.001498498
Msex2.11046,Eupyrene,NA,NA,NA,0.00020028
Msex2.11049,Shared,NA,NA,0.002243845,0.000151025
Msex2.11051,Shared,DPOGS215520,NA,0.001014715,0.000620498
Msex2.11091,Shared,"DPOGS212450,DPOGS212451",NA,0.000352652,0.005212533
Msex2.11131,Eupyrene,DPOGS208083,NA,NA,0.000172225
Msex2.11152,Shared,DPOGS211175,NA,0.00034946,0.000155243
Msex2.11192,Eupyrene,NA,NA,NA,0.001984934
Msex2.11193,Apyrene,DPOGS215558,NA,0.000710695,NA
Msex2.11194,Shared,DPOGS215532,NA,0.004325743,0.003415631
Msex2.11211,Eupyrene,DPOGS205868,NA,NA,0.000126613
Msex2.11301,Shared,DPOGS208095,NA,0.014893111,0.014157687
Msex2.11302,Shared,NA,NA,0.007802341,0.005862534
Msex2.11303,Shared,NA,NA,0.002250006,0.001632051
Msex2.11304,Shared,NA,NA,0.010527979,0.004327851
Msex2.11323,Shared,DPOGS205933,NA,0.001524982,0.001543226
Msex2.11379,Eupyrene,NA,Reticulon,NA,0.00017319
Msex2.11389,Shared,DPOGS209449,"WD-repeat protein, putative",0.000557333,0.00020873
Msex2.11471,Shared,NA,NA,0.001426508,0.000892695
Msex2.11473,Shared,NA,NA,0.008125839,0.002814244
Msex2.11475,Eupyrene,NA,NA,NA,0.002905832
Msex2.11476,Shared,DPOGS213489,NA,0.000580683,0.005741047
Msex2.11482,Eupyrene,DPOGS213493,Ribosomal protein L7 isoform A,NA,0.000352573
Msex2.11487,Shared,DPOGS202769,Radial spoke head protein 9 like protein,0.002550368,0.001926483
Msex2.11496,Shared,DPOGS202773,Peroxiredoxin,0.003537792,0.003314092
Msex2.11523,Shared,DPOGS200908,NA,0.001256564,0.000851505
Msex2.11529,Shared,DPOGS200904,Citrate synthase,0.002742539,0.000392006
Msex2.11539,Shared,DPOGS216122,NA,0.000213097,0.000139819
Msex2.11546,Shared,DPOGS203787,NADH dehydrogenase Fe-S protein 3,0.002763686,0.001700875
Msex2.11589,Apyrene,DPOGS210790,Mitochondrial hydroxyacylglutathione hydrolase,0.000382409,NA
Msex2.11627,Shared,NA,Cytosol aminopeptidase,0.019128338,0.007517651
Msex2.11631,Eupyrene,DPOGS213870,NA,NA,0.003053965
Msex2.11632,Shared,NA,NA,0.001613923,0.000582885
Msex2.11647,Shared,DPOGS211107,NA,0.004194541,0.000400436
Msex2.11666,Shared,DPOGS215291,Pyrroline-5-carboxylate dehydrogenase,0.000231447,0.000817796
Msex2.11670,Eupyrene,"DPOGS202655,DPOGS215294",Outer mitochondrial membrane cytochrome b5 isoform A,NA,0.000613525
Msex2.11674,Apyrene,DPOGS201709,NA,0.000661246,NA
Msex2.11680,Apyrene,NA,NA,0.00136376,NA
Msex2.11685,Eupyrene,DPOGS210106,SecY translocase,NA,0.000462636
Msex2.11758,Shared,DPOGS205397,Mitochondrial aldehyde dehydrogenase,0.000814014,0.000629713
Msex2.11819,Apyrene,DPOGS211844,Ubiquinol-cytochrome c reductase complex,0.002325013,NA
Msex2.11849,Apyrene,DPOGS202995,OCIA domain-containing protein 1,0.000492987,NA
Msex2.11850,Eupyrene,DPOGS202994,OCIA domain-containing protein 1,NA,0.003130195
Msex2.11861,Shared,DPOGS208318,GTP-binding protein YPT3,0.000771491,0.000477966
Msex2.11880,Apyrene,DPOGS206805,NA,0.001249009,NA
Msex2.11901,Eupyrene,NA,NA,NA,0.000417583
Msex2.11922,Shared,DPOGS203156,ATP synthase delta chain,0.000980715,0.000322908
Msex2.11923,Shared,DPOGS203218,Flagellar associated protein (Fragment),0.002355035,0.001163582
Msex2.11928,Shared,NA,NA,0.000951085,0.000655221
Msex2.11931,Shared,DPOGS204316,"Isocitrate dehydrogenase [NADP], mitochondrial",0.001439577,0.000191992
Msex2.11940,Shared,DPOGS211475,Inorganic pyrophosphatase,0.000195048,0.000216359
Msex2.11967,Eupyrene,DPOGS210643,Ribosomal protein L4,NA,0.000285364
Msex2.11995,Eupyrene,DPOGS208785,Ribosomal protein 5,NA,0.000876048
Msex2.12008,Eupyrene,"DPOGS215420,DPOGS209345",Mitochondrial inorganic phosphate carrier,NA,0.003061409
Msex2.12016,Shared,DPOGS209581,NA,0.000896531,0.000874874
Msex2.12043,Apyrene,DPOGS215346,Trypsin theta,0.0004933,NA
Msex2.12054,Apyrene,DPOGS205848,NAD(P)H-hydrate epimerase,0.000399354,NA
Msex2.12060,Eupyrene,NA,NA,NA,0.000312932
Msex2.12095,Apyrene,DPOGS213269,N-acetylglucosamine-6-phosphate deacetylase,0.000238911,NA
Msex2.12141,Apyrene,DPOGS212938,Mitochondrial NADH-ubiquinone oxidoreductase 24 kDa subunit,0.002167476,NA
Msex2.12145,Eupyrene,DPOGS202890,Eukaryotic translation elongation factor,NA,0.00014843
Msex2.12168,Eupyrene,DPOGS201807,Proline dehydrogenase,NA,0.000214629
Msex2.12171,Eupyrene,DPOGS201306,Alpha-glucosidase,NA,0.000564586
Msex2.12226,Shared,"DPOGS208145,DPOGS211646",Translation initiation inhibitor,0.001696185,0.001587011
Msex2.12265,Apyrene,DPOGS210877,NA,0.000241434,NA
Msex2.12267,Shared,"DPOGS212953,DPOGS213092",Dynein light chain,0.001167194,0.000820676
Msex2.12278,Eupyrene,"DPOGS207060,DPOGS207061",Salicyl alcohol oxidase,NA,0.000130291
Msex2.12321,Eupyrene,DPOGS202029,Membrane-associated progesterone receptor component,NA,0.001262071
Msex2.12330,Eupyrene,DPOGS204191,p-loop containing nucleoside triphosphate hydrolase,NA,0.000822824
Msex2.12332,Shared,NA,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",0.000326491,0.010773498
Msex2.12333,Shared,NA,NA,0.00061281,0.004276178
Msex2.12338,Shared,DPOGS212342,LOW QUALITY PROTEIN: tektin-3,0.007368488,0.004861379
